Heads of Capital Expenditure,1990-91 ,1995-96 ,1996-97 ,1997-98 ,1998-99 ,1999-2000 ,2000-01 ,2001-02 ,2002-03 ,2003-04 (RE),2003-04 ,2004-05 (BE),2004-05 (RE),2004-05 ,2005-06 (BE),2005-06 (RE),2005-06 ,2006-07 (BE),2006-07 (RE),2006-07 ,2007-08 (BE),2007-08 (R.E.),2007-08 ,2008-09 (B.E.),2008-09 (R.E.),2008-09 ,2009-10 (B.E.),2009-10 (R.E.),2009-10 ,2010-11 (B.E.),2010-11 (R.E.),2010-11 ,2011-12 (B.E.),2011-12 (R.E.),2011-12 ,2012-13 (B.E.),2012-13 (R.E.),2012-13 ,2013-14 (B.E.),2013-14 (R.E.),2013-14 ,2014-15 (B.E.),2014-15 (R.E.),2014-15,2015-16 (B.E.),2015-16 (R.E.),2015-16,2016-17(B.E.),2016-17 (R.E.),2017-18 (B.E.)
C. LOANS AND ADVANCES,8321.3,7750.24,6564.74,7629.59,11204.21,15312.48,5348.44,8655.79,9347.97,5046.23,8132.24,7699.13,12788.11,12222.29,12227.14,14057.63,11935.94,12944.5,11512.13,11192.15,18255.89,16944.63,12224.05,17180.93,14284,10175.56,17626.68,20701.07,18874.46,24768.91,32036.26,29450.76,20444,25882.59,27020.13,30575.74,26121.25,26711,31264.42,29374,27425,25409,27510,30491,30615,87480,89971,40731,125074,4528
1. By Centre (net disbursement) (a-b),4070.72,2973.15,2767.46,2539.02,3156.76,3136.43,863.62,4140.86,-906.45,-2515.11,-2767.38,484.4,1219.36,1437.45,3445.31,2697.81,3836.04,3377.4,1976.18,1696.04,3036.36,2747.13,2969.74,2296.63,5622.99,2343.24,5060.58,6093.78,4440.94,9352.93,13935.85,10194.27,1441.38,4618,2243.5,5873.62,960.38,891,6882.83,5696,5480,9755,7711,14021,10052,3973,4339,14134,17978,18995
a) Gross,6186.68,5183.06,5004.85,5010.32,6870.92,5897.38,5971.38,10872.04,7535.82,5320.87,5881.51,4261.24,5795.36,5939.76,5925.4,6950.53,6838.68,5145.62,5288.29,5049.15,4471.83,5251.63,5070.56,4623,7579.12,7470.54,7119.77,8426.73,8209.04,11052.91,15794.02,14819.4,8535.02,10962.63,18307.49,9439.41,18624.88,8004,9388.91,10418,9910,12740,13158,19910,13394,25695,14696,17057,20401,22686
i) Developmental,4418.46,5044.74,4920.09,4716.58,5306.57,5212.72,5228.72,10204.21,6624.31,4562.6,5338.32,3759.59,5147.74,5459.83,5431.35,6589.89,6647.2,4995.17,5255.46,5131.26,4433.53,5284.81,5175.5,4617.4,6782.71,6737.56,7127.76,8194.49,8014.64,10867.5,15509.02,14529.48,8281.02,10113.63,17451.49,7943.41,16949.18,6331,8092.41,8964,8436,9746,10919,17921,10167,22419,11573,14503,18925,21007
ii) Non-developmental,1768.22,138.32,84.76,293.74,1564.35,684.66,742.66,667.83,911.51,758.27,543.19,501.65,647.62,479.93,494.05,360.64,191.48,150.45,32.83,-82.11,38.3,-33.18,-104.94,5.6,796.41,732.98,-7.99,232.24,194.4,185.41,285,289.92,254,849,856,1496,1675.7,1674,1296.5,1454,1474,2994,2239,1989,3227,3276,3123,2554,1476,1679
b) Repayments,2115.96,2209.91,2237.39,2471.3,3714.16,2760.95,5107.76,6731.18,8442.27,7835.98,8648.89,3776.84,4576,4502.31,2480.09,4252.72,3002.64,1768.22,3312.11,3353.11,1435.47,2504.5,2100.82,2326.37,1956.13,5127.3,2059.19,2332.95,3768.1,1699.98,1858.17,4625.13,7093.64,6344.63,16063.99,3565.79,17664.5,7113,2506.08,4722,4430,2985,5447,5889,3342,21723,-10357,2923,-2423,-3691
2. By States (net disbursement) (a-b),4250.58,4777.09,3797.28,5090.57,8047.45,12176.05,4484.82,4514.93,10254.42,7561.34,10899.62,7214.73,11568.75,10784.84,8781.83,11359.82,8099.9,9567.1,9535.95,9496.11,15219.53,14197.5,9254.31,14884.3,8661.01,7832.32,12566.1,14607.29,14433.52,15415.98,18100.41,19256.49,19002.62,21264.59,24776.63,24702.12,25160.87,25820,24381.59,23678,21944,15655,19799,16470,20562,83507,85632,26597,107095,13048
a) Gross,5759.16,8257.35,9556.62,10585.69,11357.75,15541.45,11208.75,12267.68,13959.07,23178.81,27040.58,14432.83,20776.89,19342.76,14099.76,18823.33,17329.18,15086.93,18241.09,17085.79,20189.19,20425.04,17089.7,20065.92,20569.75,19593.66,17574.6,22651.14,22850.94,19700.75,24023.75,25068.33,23830.93,40706.57,42314.03,30788.29,37282.01,33813,35186.12,36690,29646,22480,27462,30851,26795,91372,92811,43848,119588,35220
i) Developmental,5547.06,7682.6,9003.36,9715.3,10399.52,14115.05,10103.48,11133.11,13587.54,22789.5,26761.39,13988.2,20374.07,19001.34,13694.41,18502.45,17028.49,14765.52,17854.66,16712.88,19690.73,19877.82,15774,19475.46,19075.92,19223.45,15945.32,22202.39,22351.38,19206.77,23374.34,24630.45,23061.29,39993.11,41452.9,30061.94,36567.8,33319,34471.51,36000,28498,21673,26459,30238,25695,89955,91906,42473,118196,33964
ii) Non-developmental,212.1,574.75,553.26,870.39,958.23,1426.4,1105.27,1134.57,371.53,389.31,279.19,444.63,402.82,341.42,405.35,320.88,300.69,321.41,386.43,372.91,498.46,547.22,1315.7,590.46,1493.83,370.21,1629.28,448.75,499.56,493.98,649.41,437.88,769.64,713.46,861.13,726.35,714.21,494,714.61,690,1148,807,1003,613,1100,1416,905,1375,1392,1256
b) Repayments,1508.58,3480.26,5759.34,5495.12,3310.3,3365.4,6723.93,7752.75,3704.65,15617.47,16140.96,7218.1,9208.14,8557.92,5317.93,7463.51,9229.28,5519.83,8705.14,7589.68,4969.66,6227.54,7835.39,5181.62,11908.74,11761.34,5008.5,8043.85,8417.42,4284.77,5923.34,5811.84,4828.31,19441.98,17537.4,6086.17,12121.14,7993,10804.53,13012,7701,6826,7664,14381,6232,7864,7179,17251,12493,22172
3. Total loans (1+2) (net Disbursement) (a-b),8321.3,7750.24,6564.74,7629.59,11204.21,15312.48,5348.44,8655.79,9347.97,5046.23,8132.24,7699.13,12788.11,12222.29,12227.14,14057.63,11935.94,12944.5,11512.13,11192.15,18255.89,16944.63,12224.05,17180.93,14284,10175.56,17626.68,20701.07,18874.46,24768.91,32036.26,29450.76,20444,25882.59,27020.13,30575.74,26121.25,26711,31264.42,29374,27425,25409,27510,30491,30615,87480,89971,40731,125074,32043
a) Gross,11945.84,13440.41,14561.47,15596.01,18228.67,21438.83,17180.13,23139.72,21494.89,28499.68,32922.09,18694.07,26572.25,25282.52,20025.16,25773.86,24167.86,20232.55,23529.38,22134.94,24661.02,25676.67,22160.26,24688.92,28148.87,27064.2,24694.37,31077.87,31059.98,30753.66,39817.77,39887.73,32365.95,51669.2,60621.52,40227.7,55906.89,41817,44575.03,47108,39556,35220,40621,50761,40189,117067,107507,60905,139990,57906
i) Developmental,9965.52,12727.34,13923.45,14431.88,15706.09,19327.77,15332.2,21337.32,20211.85,27352.1,32099.71,17747.79,25521.81,24461.17,19125.76,25092.34,23675.69,19760.69,23110.12,21844.14,24124.26,25162.63,20949.5,24092.86,25858.63,25961.01,23073.08,30396.88,30366.02,30074.27,38883.36,39159.93,31342.31,50106.74,58904.39,38005.35,53516.98,39650,42563.92,44964,36934,31419,37379,48159,35863,112375,103479,56977,137122,54971
ii) Non-developmental,1980.32,713.07,638.02,1164.13,2522.58,2111.06,1847.93,1802.4,1283.04,1147.58,822.38,946.28,1050.44,821.35,899.4,681.52,492.17,471.86,419.26,290.8,536.76,514.04,1210.76,596.06,2290.24,1103.19,1621.29,680.99,693.96,679.39,934.41,727.8,1023.64,1562.46,1717.13,2222.35,2389.91,2167,2011.11,2144,2621,3801,3242,2602,4326,4692,4027,3929,2868,2935
b) Repayments,3624.54,5690.17,7996.73,7966.42,7024.46,6126.35,11831.69,14483.93,12146.92,23453.45,24789.85,10994.94,13784.14,13060.23,7798.02,11716.23,12231.92,7288.05,12017.25,10942.79,6405.13,8732.04,9936.21,7507.99,13864.87,16888.64,7067.69,10376.8,12185.52,5984.75,7781.51,10436.97,11921.95,25786.61,33601.39,9651.96,29785.64,15106,13310.61,17734,12131,9811,13111,20270,9574,29587,17536,20174,14916,53378
TOTAL (A+B+C),30201.59,42926.69,38386.31,48049.91,59186.11,66650.83,60960.25,70105.81,73374.05,104220.07,94498.82,129110.79,137775.23,125379.98,152096.71,157252.5,146311.06,176949.13,184020.11,170680.1,256260.45,259093.83,234169.67,251415.61,250138.64,222854.67,281020.01,290592.16,272806.55,319116,344405.16,325600.72,380658.9,363218.85,342109.53,500054.7,413845.66,374767,559765.88,472237,421892,570353,540496,474621,623927,739559,701302,710949,795216,789456
